ID,Outcome
TEST_000,0.3281967
TEST_001,0.13243768
TEST_002,0.18686481
TEST_003,0.68367285
TEST_004,0.12588833
TEST_005,0.13866574
TEST_006,0.44238418
TEST_007,0.5823867
TEST_008,0.097931296
TEST_009,0.11023225
TEST_010,0.2192803
TEST_011,0.46979937
TEST_012,0.21477692
TEST_013,0.17528412
TEST_014,0.11983411
TEST_015,0.29441524
TEST_016,0.14445889
TEST_017,0.09548824
TEST_018,0.19373274
TEST_019,0.12487785
TEST_020,0.653378
TEST_021,0.13509251
TEST_022,0.17372148
TEST_023,0.09329721
TEST_024,0.14537312
TEST_025,0.66797143
TEST_026,0.0800807
TEST_027,0.18048033
TEST_028,0.09507336
TEST_029,0.11614976
TEST_030,0.39766955
TEST_031,0.3326234
TEST_032,0.12753601
TEST_033,0.35957867
TEST_034,0.26748586
TEST_035,0.12699546
TEST_036,0.10352281
TEST_037,0.0956953
TEST_038,0.5800836
TEST_039,0.23738885
TEST_040,0.1019334
TEST_041,0.22860405
TEST_042,0.3509265
TEST_043,0.10438951
TEST_044,0.2032618
TEST_045,0.17558338
TEST_046,0.023659145
TEST_047,0.14795183
TEST_048,0.39423546
TEST_049,0.7002044
TEST_050,0.3216099
TEST_051,0.6672386
TEST_052,0.35448852
TEST_053,0.1285336
TEST_054,0.30102524
TEST_055,0.36632222
TEST_056,0.13581531
TEST_057,0.26324293
TEST_058,0.45265397
TEST_059,0.5733005
TEST_060,0.07864731
TEST_061,0.33688092
TEST_062,0.45572382
TEST_063,0.797617
TEST_064,0.43258733
TEST_065,0.35827008
TEST_066,0.5156829
TEST_067,0.78089094
TEST_068,0.50891113
TEST_069,0.09990131
TEST_070,0.16153331
TEST_071,0.21601506
TEST_072,0.2641318
TEST_073,0.057909604
TEST_074,0.13972978
TEST_075,0.2836538
TEST_076,0.12983496
TEST_077,0.1439662
TEST_078,0.22853212
TEST_079,0.18775606
TEST_080,0.14202747
TEST_081,0.029789874
TEST_082,0.18959855
TEST_083,0.11366248
TEST_084,0.15947878
TEST_085,0.65085787
TEST_086,0.32220244
TEST_087,0.22033042
TEST_088,0.16062374
TEST_089,0.13940485
TEST_090,0.59124243
TEST_091,0.07285905
TEST_092,0.3532114
TEST_093,0.25565323
TEST_094,0.4010856
TEST_095,0.15064077
TEST_096,0.23209271
TEST_097,0.08302747
TEST_098,0.15475084
TEST_099,0.24488533
TEST_100,0.5893975
TEST_101,0.48756427
TEST_102,0.11569418
TEST_103,0.31761658
TEST_104,0.18050048
TEST_105,0.25235668
TEST_106,0.105629556
TEST_107,0.6967835
TEST_108,0.15971683
TEST_109,0.17567691
TEST_110,0.013219979
TEST_111,0.24333186
TEST_112,0.16197617
TEST_113,0.63738054
TEST_114,0.15338528
TEST_115,0.09542201
